annee,classe_age,vote_systematique,vote_intermitent,abstention_systematique,deux_votes_uniquement_presidentielle,tout_sauf_legislatives_t2,tout_sauf_legislatives_t1,seul_t1_presidentielle,seul_t2_presidentielle,vote_intermitent_autre,participation_au_moins_une_fois_presidentielle,participation_au_moins_une_fois_legislatives,indicateur_strict_presidentielle_sans_legislatives,nature_indicateur,source
2017,18-24,17.7,62.1,20.2,31.1,8.9,4.8,8.1,5.1,4.1,,,44.3,"Part des inscrits ayant vote a au moins un tour de presidentielle et a aucun tour des legislatives, hors categories residuelles de la figure 3.","Insee Premiere 1670, figures 2 et 3, https://www.insee.fr/fr/statistiques/3138704"
2017,25-29,16.5,59.3,24.2,28.1,9.5,3.8,7.5,4.7,5.6,,,40.3,"Part des inscrits ayant vote a au moins un tour de presidentielle et a aucun tour des legislatives, hors categories residuelles de la figure 3.","Insee Premiere 1670, figures 2 et 3, https://www.insee.fr/fr/statistiques/3138704"
2017,30-34,23.0,58.7,18.3,28.8,11.0,4.4,6.7,3.4,4.5,,,38.9,"Part des inscrits ayant vote a au moins un tour de presidentielle et a aucun tour des legislatives, hors categories residuelles de la figure 3.","Insee Premiere 1670, figures 2 et 3, https://www.insee.fr/fr/statistiques/3138704"
2022,moins de 30 ans,,,,,,,,,,74.0,35.0,39.0,Ecart direct entre participation a au moins un tour de presidentielle et participation a au moins un tour des legislatives.,"Insee Premiere 1928, cite dans https://fr.wikipedia.org/wiki/Abstention_de_vote_en_France"
2017,18-34 approx. non pondere,19.1,60.0,20.9,29.3,,,7.4,4.4,,,,41.2,"Moyenne simple des tranches 18-24, 25-29, 30-34. A remplacer par une moyenne ponderee par effectifs EDP ou RP.","Calcul sur Insee Premiere 1670, figures 2 et 3"
