annee,classe_age,presidentielle_t1,legislatives_t1,deperdition_t1,incertitude_t1,presidentielle_t2,legislatives_t2,deperdition_t2,incertitude_t2,deperdition_au_moins_un_tour,vote_systematique,vote_intermitent,abstention_systematique,participation_legislatives_2024,methode,methode_classe,source
2002,18-34,64.8,51.2,13.7,7.3,72.2,46.9,25.4,7.3,19.0,32.6,51.2,16.3,,estimation publique provisoire; microdonnees requises pour une mesure 18-34 definitive,method-public-estimate,"Insee Premiere 1671, figures 2 et 3; composition intermittence nationale appliquee a la classe d'age"
2007,18-34,82.0,46.2,35.8,2.9,81.3,45.2,36.1,2.9,31.6,33.0,56.7,10.3,,estimation publique provisoire; microdonnees requises pour une mesure 18-34 definitive,method-public-estimate,"Insee Premiere 1671, figures 2 et 3; composition intermittence nationale appliquee a la classe d'age"
2012,18-34,74.7,43.8,30.9,3.7,75.6,41.8,33.8,3.7,28.4,29.4,55.2,15.4,,estimation publique provisoire; microdonnees requises pour une mesure 18-34 definitive,method-public-estimate,"Insee Premiere 1671, figures 2 et 3; composition intermittence nationale appliquee a la classe d'age"
2017,18-34,70.0,28.9,41.1,4.7,66.9,23.4,43.5,4.7,41.2,,,,,"reconstitution publique directe; moyenne simple 18-24, 25-29, 30-34",method-direct-2017,"Insee Premiere 1670, figures 2 et 3"
2022,18-34,,,,,,,,,,,,,,microdonnees Insee EPE/EDP necessaires: la publication disponible donne seulement moins de 30 ans,method-microdata-needed,Insee Premiere 1928; microdonnees non presentes dans le depot local
2024,18-34,,,,,,,,,,,,,54.0,participation legislative estimee par sondage: moyenne simple 18-24 (57 %) et 25-34 (51 %); pas une deperdition presidentielle-legislatives,method-partial-2024,Ipsos 2024 cite dans la synthese publique; microdonnees Insee 2024 non trouvees localement
