annee,classe_age,presidentielle_t1,legislatives_t1,deperdition_t1,incertitude_t1,presidentielle_t2,legislatives_t2,deperdition_t2,incertitude_t2,deperdition_au_moins_un_tour,vote_systematique,vote_intermitent,abstention_systematique,participation_legislatives_2024,methode,methode_classe,source
2002,18-29,64.3,50.3,14.0,7.4,71.8,45.8,26.0,7.4,19.5,31.2,52.4,16.4,,estimation publique: intermittence nationale appliquee aux 18-24 et 25-29,method-public-estimate,"Insee Premiere 1671, figures 2 et 3; composition intermittence nationale appliquee a la classe d'age"
2007,18-29,81.2,44.3,36.9,3.0,80.4,43.2,37.2,3.0,32.6,30.7,58.4,10.9,,estimation publique: intermittence nationale appliquee aux 18-24 et 25-29,method-public-estimate,"Insee Premiere 1671, figures 2 et 3; composition intermittence nationale appliquee a la classe d'age"
2012,18-29,73.2,41.6,31.5,3.8,74.2,39.6,34.6,3.8,29.0,26.9,56.4,16.7,,estimation publique: intermittence nationale appliquee aux 18-24 et 25-29,method-public-estimate,"Insee Premiere 1671, figures 2 et 3; composition intermittence nationale appliquee a la classe d'age"
2017,18-29,68.0,26.3,41.7,4.8,65.1,21.4,43.7,4.8,42.3,,,,,"reconstitution publique directe: figure 3 Insee 1670, moyenne 18-24 / 25-29",method-direct-2017,"Insee Premiere 1670, figures 2 et 3"
2022,moins de 30 ans,,,,,,,,,39.0,,,,,autre methode: ecart publie au moins un tour presidentielle moins au moins un tour legislatives,method-other-2022,"Insee Premiere 1928, cite dans https://fr.wikipedia.org/wiki/Abstention_de_vote_en_France"
