annee,couple_scrutin,presidentielle_t1,presidentielle_t2,legislatives_t1,legislatives_t2,deperdition_t1,deperdition_t2,deperdition_18_29_t1,deperdition_18_29_t2,deperdition_18_29_au_moins_un_tour,methode_18_29,deperdition_18_34_t1,deperdition_18_34_t2,deperdition_18_34_au_moins_un_tour,participation_legislatives_2024_18_34,methode_18_34,methode_classe,deperdition_age_t1,deperdition_age_t2,deperdition_age_au_moins_un_tour,classe_age_deperdition,statut_deperdition_age,participation_moyenne_presidentielle,participation_moyenne_legislatives,deperdition_moyenne_tours,ratio_retention_moyen_leg_sur_pres,source
2002,pres. 2002 / leg. 2002,71.6,79.71,64.42,60.32,7.18,19.39,14.0,26.0,19.5,estimation publique: intermittence nationale appliquee aux 18-24 et 25-29,13.7,25.4,19.0,,estimation publique provisoire; microdonnees requises pour une mesure 18-34 definitive,method-public-estimate,,,,,non calcule,75.66,62.37,13.28,0.82,"Ministere de l'Interieur, resultats nationaux; synthese controlee via https://fr.wikipedia.org/wiki/Abstention_de_vote_en_France"
2007,pres. 2007 / leg. 2007,83.77,83.97,60.44,59.99,23.33,23.98,36.9,37.2,32.6,estimation publique: intermittence nationale appliquee aux 18-24 et 25-29,35.8,36.1,31.6,,estimation publique provisoire; microdonnees requises pour une mesure 18-34 definitive,method-public-estimate,,,,,non calcule,83.87,60.22,23.66,0.72,"Ministere de l'Interieur, resultats nationaux; synthese controlee via https://fr.wikipedia.org/wiki/Abstention_de_vote_en_France"
2012,pres. 2012 / leg. 2012,79.48,80.35,57.22,55.4,22.26,24.95,31.5,34.6,29.0,estimation publique: intermittence nationale appliquee aux 18-24 et 25-29,30.9,33.8,28.4,,estimation publique provisoire; microdonnees requises pour une mesure 18-34 definitive,method-public-estimate,,,,,non calcule,79.91,56.31,23.6,0.7,"Ministere de l'Interieur, resultats nationaux; synthese controlee via https://fr.wikipedia.org/wiki/Abstention_de_vote_en_France"
2017,pres. 2017 / leg. 2017,77.77,74.56,48.7,42.64,29.07,31.92,41.7,43.7,42.3,"reconstitution publique directe: figure 3 Insee 1670, moyenne 18-24 / 25-29",41.1,43.5,41.2,,"reconstitution publique directe; moyenne simple 18-24, 25-29, 30-34",method-direct-2017,41.1,43.5,,18-34 approx. non pondere,"moyenne simple des tranches 18-24, 25-29, 30-34",76.16,45.67,30.49,0.6,"Ministere de l'Interieur, resultats nationaux; Insee Premiere 1670 pour l'intermittence"
2022,pres. 2022 / leg. 2022,73.69,71.99,47.51,46.23,26.18,25.76,,,39.0*,autre methode: ecart publie au moins un tour presidentielle moins au moins un tour legislatives,,,,,microdonnees Insee EPE/EDP necessaires: la publication disponible donne seulement moins de 30 ans,method-other-2022,,,39.0,moins de 30 ans,publie en agrege presidentielle versus legislatives; T1/T2 a calculer par microdonnees,72.84,46.87,25.97,0.64,"Ministere de l'Interieur, resultats nationaux; Insee Premiere 1928 pour l'intermittence"
2024,pres. 2022 / leg. 2024,73.69,71.99,66.71,66.63,6.98,5.36,,,,,,,,54.0,participation legislative estimee par sondage: moyenne simple 18-24 (57 %) et 25-34 (51 %); pas une deperdition presidentielle-legislatives,method-partial-2024,,,,,non calcule,72.84,66.67,6.17,0.92,"Ministere de l'Interieur, resultats nationaux; legislatives 2024 decouplees de la presidentielle"
