annee,presidentielle_t1,presidentielle_t2,legislatives_t1,legislatives_t2,deperdition_t1,deperdition_t2,deperdition_age_t1,deperdition_age_t2,deperdition_age_au_moins_un_tour,classe_age_deperdition,statut_deperdition_age,participation_moyenne_presidentielle,participation_moyenne_legislatives,deperdition_moyenne_tours,ratio_retention_moyen_leg_sur_pres,source
2002,71.6,79.71,64.42,60.32,7.18,19.39,,,,,non calcule,75.66,62.37,13.28,0.82,"Ministere de l'Interieur, resultats nationaux; synthese controlee via https://fr.wikipedia.org/wiki/Abstention_de_vote_en_France"
2007,83.77,83.97,60.44,59.99,23.33,23.98,,,,,non calcule,83.87,60.22,23.66,0.72,"Ministere de l'Interieur, resultats nationaux; synthese controlee via https://fr.wikipedia.org/wiki/Abstention_de_vote_en_France"
2012,79.48,80.35,57.22,55.4,22.26,24.95,,,,,non calcule,79.91,56.31,23.6,0.7,"Ministere de l'Interieur, resultats nationaux; synthese controlee via https://fr.wikipedia.org/wiki/Abstention_de_vote_en_France"
2017,77.77,74.56,48.7,42.64,29.07,31.92,41.1,43.5,,18-34 approx. non pondere,"moyenne simple des tranches 18-24, 25-29, 30-34",76.16,45.67,30.49,0.6,"Ministere de l'Interieur, resultats nationaux; Insee Premiere 1670 pour l'intermittence"
2022,73.69,71.99,47.51,46.23,26.18,25.76,,,39.0,moins de 30 ans,publie en agrege presidentielle versus legislatives; T1/T2 a calculer par microdonnees,72.84,46.87,25.97,0.64,"Ministere de l'Interieur, resultats nationaux; Insee Premiere 1928 pour l'intermittence"
